ID,DEPARTURE_DTM,ARRIVAL_DTM,DEP_AIRPORT_CODE,ARR_AIRPORT_CODE,ROUTE_ID,AIRLINE_ID
7C2217,2025-04-08 21:55,2025-04-09 00:30,ICN,DAD,1,1
ZE0593,2025-04-08 20:30,2025-04-08 23:25,ICN,DAD,1,1
TW0175,2025-04-08 21:35,2025-04-09 00:25,ICN,DAD,1,1
TW0171,2025-04-08 07:55,2025-04-08 10:45,ICN,DAD,1,1
KE0461,2025-04-08 18:20,2025-04-08 21:05,ICN,DAD,1,1
KE0457,2025-04-08 10:55,2025-04-08 13:40,ICN,DAD,1,1
OZ0755,2025-04-08 18:50,2025-04-08 21:35,ICN,DAD,1,1
VN0431,2025-04-08 11:05,2025-04-08 13:50,ICN,DAD,1,1
LJ0081,2025-04-08 20:25,2025-04-08 23:05,ICN,DAD,1,1
VN3443,2025-04-08 10:55,2025-04-08 13:40,ICN,DAD,1,1
VN3441,2025-04-08 18:20,2025-04-08 21:05,ICN,DAD,1,1
VJ0881,2025-04-08 06:15,2025-04-08 08:50,ICN,DAD,1,1
VJ0879,2025-04-08 07:00,2025-04-08 09:40,ICN,DAD,1,1
VJ0875,2025-04-08 23:10,2025-04-09 02:15,ICN,DAD,1,1
TW0173,2025-04-08 19:50,2025-04-08 22:40,ICN,DAD,1,1
RS0511,2025-04-08 20:55,2025-04-08 23:30,ICN,DAD,1,1
A12881,2025-04-08 06:15,2025-04-08 08:50,ICN,DAD,1,1
A12879,2025-04-08 07:00,2025-04-08 09:40,ICN,DAD,1,1
A12875,2025-04-08 23:10,2025-04-09 02:15,ICN,DAD,1,1
KE5769,2025-04-08 20:25,2025-04-08 23:05,ICN,DAD,1,1
H14068,2025-04-08 23:10,2025-04-09 02:15,ICN,DAD,1,1
H19847,2025-04-08 21:55,2025-04-09 00:30,ICN,DAD,1,1
RS0511,2025-04-09 20:55,2025-04-09 23:30,ICN,DAD,1,1
ZE0593,2025-04-09 20:30,2025-04-09 23:25,ICN,DAD,1,1
7C2217,2025-04-09 21:55,2025-04-10 00:30,ICN,DAD,1,1
VJ0875,2025-04-09 22:45,2025-04-10 01:25,ICN,DAD,1,1
VJ0881,2025-04-09 06:15,2025-04-09 08:55,ICN,DAD,1,1
TW0175,2025-04-09 21:35,2025-04-10 00:25,ICN,DAD,1,1
VJ0879,2025-04-09 07:00,2025-04-09 09:40,ICN,DAD,1,1
KE0461,2025-04-09 18:20,2025-04-09 21:05,ICN,DAD,1,1
VN0431,2025-04-09 11:05,2025-04-09 13:50,ICN,DAD,1,1
LJ0081,2025-04-09 20:25,2025-04-09 23:05,ICN,DAD,1,1
VN3441,2025-04-09 18:20,2025-04-09 21:05,ICN,DAD,1,1
OZ0755,2025-04-09 18:50,2025-04-09 21:35,ICN,DAD,1,1
KE0457,2025-04-09 10:55,2025-04-09 13:40,ICN,DAD,1,1
H19847,2025-04-09 21:55,2025-04-10 00:30,ICN,DAD,1,1
A12875,2025-04-09 22:45,2025-04-10 01:25,ICN,DAD,1,1
A12881,2025-04-09 06:15,2025-04-09 08:55,ICN,DAD,1,1
H14068,2025-04-09 22:45,2025-04-10 01:25,ICN,DAD,1,1
H14519,2025-04-09 06:15,2025-04-09 08:55,ICN,DAD,1,1
H14069,2025-04-09 07:00,2025-04-09 09:40,ICN,DAD,1,1
A12879,2025-04-09 07:00,2025-04-09 09:40,ICN,DAD,1,1
ZE0593,2025-04-10 20:30,2025-04-10 23:25,ICN,DAD,1,1
RS0511,2025-04-10 20:55,2025-04-10 23:30,ICN,DAD,1,1
7C2217,2025-04-10 21:55,2025-04-11 00:30,ICN,DAD,1,1
YP0621,2025-04-10 17:55,2025-04-10 20:45,ICN,DAD,1,1
VJ0875,2025-04-10 22:45,2025-04-11 01:25,ICN,DAD,1,1
VJ0881,2025-04-10 06:15,2025-04-10 08:55,ICN,DAD,1,1
VJ0879,2025-04-10 07:00,2025-04-10 09:40,ICN,DAD,1,1
TW0175,2025-04-10 21:35,2025-04-11 00:25,ICN,DAD,1,1
TW0173,2025-04-10 19:50,2025-04-10 22:40,ICN,DAD,1,1
TW0171,2025-04-10 07:55,2025-04-10 10:45,ICN,DAD,1,1
KE0457,2025-04-10 10:55,2025-04-10 13:40,ICN,DAD,1,1
LJ0081,2025-04-10 20:25,2025-04-10 23:05,ICN,DAD,1,1
VN0431,2025-04-10 11:05,2025-04-10 13:50,ICN,DAD,1,1
OZ0755,2025-04-10 18:50,2025-04-10 21:35,ICN,DAD,1,1
KE0461,2025-04-10 18:20,2025-04-10 21:05,ICN,DAD,1,1
VN3443,2025-04-10 10:55,2025-04-10 13:40,ICN,DAD,1,1
A12875,2025-04-10 22:45,2025-04-11 01:25,ICN,DAD,1,1
A12881,2025-04-10 06:15,2025-04-10 08:55,ICN,DAD,1,1
A12879,2025-04-10 07:00,2025-04-10 09:40,ICN,DAD,1,1
H14069,2025-04-10 07:00,2025-04-10 09:40,ICN,DAD,1,1
H14068,2025-04-10 22:45,2025-04-11 01:25,ICN,DAD,1,1
H14519,2025-04-10 06:15,2025-04-10 08:55,ICN,DAD,1,1
H19847,2025-04-10 21:55,2025-04-11 00:30,ICN,DAD,1,1
